year,National_Population,CO,NO2,O3,PM_10,PM_2.5,SO2
2018,32382300,0.6516666666666667,0.00765,0.01775,24.919166666666666,16.25,0.001025
2019,32522800,0.6500833333333333,0.0071916666666666665,0.018833333333333334,29.159166666666664,20.488333333333333,0.0010583333333333332
2020,32447300,0.5449166666666667,0.0057666666666666665,0.016166666666666666,19.725833333333334,12.292499999999999,0.001025
2021,32576400,0.5337500000000001,0.005691666666666667,0.016166666666666666,20.513333333333332,12.939166666666667,0.0011166666666666666
2022,32698300,0.5275833333333334,0.0063166666666666675,0.015083333333333332,19.753333333333334,12.260833333333332,0.0011916666666666666
2023,33401800,,,,,,
